,,,,,,,,,,,,,,,,,
,MONDAY 12/08/2024,,,TUESDAY 13/08/2024,,,,WEDNESDAY 14/08/2024,,,THURSDAY 15/08/2024,,,,FRIDAY 16/08/2024,,
AMPHI,,,,CHAPEL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MONDAY 19/08/2024,,,TUESDAY 20/08/2024,,,,WEDNESDAY 21/08/2024,,,THURSDAY 22/08/2024,,,,FRIDAY 23/08/2024,,
ROOM,9:00AM-11:00AM,11:30AM-1:30PM ,2:00PM-4:00PM ,8:30AM-9:30AM ,10:00AM-12:00PM,12:30PM-2:30PM,3:00PM-5:00PM,9:00AM-11:00AM,11:30PM-1:30PM,2:00PM-4:00PM,8:30AM-9:30AM ,10:00AM-12:00PM,12:30PM-2:30PM,3:00PM-5:00PM,9:00AM-11:00AM,11:30PM-1:30PM,2:00PM-4:00PM
LR10,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR11,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR12,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR13,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR14,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-B06,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G01,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G02,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G03,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G04,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G08,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G09,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G10,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G11,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-202,DAG020A,,,CHAPEL,DEV413ASWK413A,,,,,,CHAPEL,,,,,,
SB-203,DBM010A,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-204,DEV418A/BME418A,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-301,,,,CHAPEL,,,,,PSY313A,,CHAPEL,,,,,,
SB-301,,,,CHAPEL,,,,,PSY319A,,CHAPEL,,,,,,
SB-302,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-303,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-304,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-305,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-306,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-307,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-308,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-309,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-310,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-311,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
BCC1,,COM243A,BIO111A,CHAPEL,COM247A,BUS213A,RET320A,BUS309A,ACS102A,HPE113A,CHAPEL,MUS111A,COM361A,IRS226A,NUR125A,,
BCC2,COM231A,DEV215A,BUS114A,CHAPEL,SOC315A,COM322A,RET320B,COM419A,BUS419A,HPE113B,CHAPEL,MUS111B,ENV112A,PEA141A,NUR125B,,
BCC3,SWK111A,IRS100A,MAT111A,CHAPEL,SWK318A,IRS105A/POL220A,,ECO111A,COM323A,IRS305A,CHAPEL,COM421A,IRS330A,POL111A,,,
BCC 5,SWK211A,IRS415A,MAT112A,CHAPEL,TPC459A,PEA240A,TPC457A,ECO111B,,PSY111A,CHAPEL,IRS215A,,,COM264A,,
BCC 6,PRC230A,PEA345A,,CHAPEL,,PSY411A,,IRS210A,TPC101A,RET321A,CHAPEL,,,,PEA386A,,
BCC7,DIR015A,PSY318A,COM364A,CHAPEL,MIS400A,ICO049A,,PSY416A,,,CHAPEL,BUS520/DBA099/ACC520,,,DEV214A,,
BCC8,DBA012A,,DBA013A,CHAPEL,ECO212A,,,ICO050A,,,CHAPEL,,,,CHM326A,,
BCC9,,,,CHAPEL,FRE123A,,,,,,CHAPEL,,,,,,
BCC10,DICT113A,,DICT218A,CHAPEL,DIR030A,,DIR050A,DIR075A,,,CHAPEL,DIR080A,TPC340A,DIR085A,DICT217A,,
BCC11,ICO032A,,,CHAPEL,,ICO034A,,,,,CHAPEL,,,,TPC102A,,
BCC12,COM427A,,,CHAPEL,,,,,,,CHAPEL,,,,,,
TH2,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
1CT114,BMS103A,ACS302A/MIS321A,,CHAPEL,DICT124A,,DICT219A,DICT227A,,DICT228A,CHAPEL,DICT220A,,DICT216A,ACS181A,,
ICT 115,MAT223A,ACS302B,,CHAPEL,,,,,,,CHAPEL,,,,ACS404A,,
ICT201,MAT223B,,,CHAPEL,,,,,,,CHAPEL,,,,MIS212A,,
ICT215,PHY117A,,,CHAPEL,,,,,,,CHAPEL,,,,,,
S11,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
S12,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
S21,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
S22,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
POWERLAB,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
COMP 3,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
COMP4,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
COMP5,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
ICT304(Drawing lab),,,,CHAPEL,,,,,,,CHAPEL,,,,,,
EPD LAB,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
MUS1,,,,CHAPEL,,,,,MUS119B(A),,CHAPEL,,,,,,
MUS2,,,,CHAPEL,,,,,MUS319A(A),,CHAPEL,,,,,,
MUS3,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
MUS4,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LANGLAB,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
AMPHI,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,NOTE:,,,,,,,,,,,,,,,,
,1. This is the final exam timetable for MAY TRIMESTER 2024,,,,,,,,,,,,,,,,
,2. Students and Lecturers are requested to check the changes that have been made (exam dates and time). ,,,,,,,,,,,,,,,,
